neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1,1,40.75348,-73.97065,1,190,30,136,1.45,1,120
1,26,40.73833,-73.98186,1,195,30,139,1.59,4,325
1,52,40.73268,-73.99255,1,241,30,0,0.0,1,249
2,49,40.77679,-73.91687,1,75,28,49,0.53,1,313
0,24,40.66068,-73.96003,1,80,21,5,0.12,1,1
0,12,40.70875,-73.95508,1,199,30,242,2.59,1,102
1,30,40.85099,-73.92822,0,125,60,4,0.06,1,364
0,79,40.6623,-73.99049,1,96,120,13,0.14,1,204
0,12,40.7116,-73.9529,0,89,30,30,0.8,1,91
0,6,40.68226,-73.95473,1,125,30,31,0.33,1,218
0,84,40.67855,-73.8896,0,48,90,53,0.57,2,1
1,14,40.74618,-74.00392,1,195,365,10,0.12,1,1
1,23,40.72087,-73.99022,1,153,31,59,0.63,1,27
0,12,40.72059,-73.9567,1,185,180,24,0.26,1,1
0,84,40.67962,-73.88928,0,48,90,17,0.27,2,1
1,8,40.78448,-73.97289,1,109,30,36,0.39,5,286
1,8,40.78304,-73.97447,1,167,30,16,0.17,5,252
1,53,40.71905,-73.99677,1,199,28,89,0.99,1,1
1,43,40.70741,-74.00102,0,65,30,10,1.02,1,1
0,12,40.71647,-73.93974,1,290,30,1,0.01,1,1
1,1,40.75282,-73.97315,1,125,365,19,0.21,1,365
1,30,40.85774,-73.92901,1,56,122,20,0.41,1,216
0,79,40.65992,-73.99042,1,127,180,1,0.03,1,365
1,19,40.73168,-73.98662,1,139,30,52,0.6,1,314
1,11,40.73729,-74.00807,1,250,30,7,0.08,1,35
1,11,40.73879,-74.00425,1,200,27,1,0.01,1,1
0,0,40.6433,-73.97386,1,90,30,3,0.05,1,286
0,12,40.71422,-73.9484,1,100,19,5,0.06,2,6
0,33,40.68128,-73.99522,1,275,31,121,1.33,1,305
1,11,40.72891,-74.00293,1,450,20,157,1.71,1,1
1,9,40.71283,-73.99703,1,139,30,37,0.41,1,153
0,21,40.69755,-73.91187,0,50,60,17,0.19,2,74
0,12,40.70686,-73.95365,0,135,28,84,1.12,6,310
1,8,40.78443,-73.97399,1,109,30,18,0.2,5,285
1,23,40.72209,-73.99274,1,99,30,13,0.34,9,289
1,2,40.8076,-73.94433,1,135,30,25,0.28,1,249
1,8,40.77892,-73.98238,1,499,30,64,0.72,1,157
0,12,40.71417,-73.95917,1,200,30,53,0.6,1,1
1,50,40.74253,-73.9916,0,160,21,0,0.0,1,1
0,79,40.64372,-74.02066,1,70,18,19,0.22,1,1
0,16,40.67725,-73.9821,1,178,30,8,0.1,1,280
1,28,40.77584,-73.9502,2,115,30,12,0.14,1,1
1,19,40.72899,-73.97792,1,549,30,58,0.66,1,200
0,73,40.59721,-73.95149,1,50,30,3,0.08,1,1
1,26,40.74238,-73.98122,0,74,240,15,0.17,1,90
1,68,40.73677,-73.98084,1,125,30,128,1.46,4,1
0,21,40.70339,-73.92945,1,130,30,53,0.68,1,1
0,24,40.66009,-73.96237,1,90,30,32,0.37,1,50
0,33,40.67939,-73.99398,1,298,30,131,1.84,2,296
1,64,40.7234,-73.99439,1,269,28,81,0.93,1,122
0,38,40.68599,-73.98826,1,300,29,23,0.26,2,312
0,15,40.67259,-73.95489,1,125,30,58,0.67,2,212
1,8,40.77995,-73.98342,0,99,30,27,0.31,1,189
1,7,40.7559,-73.99469,1,325,30,18,0.21,1,364
0,15,40.6764,-73.96218,1,130,28,5,0.06,1,196
2,25,40.74826,-73.94633,0,50,180,69,0.79,1,1
0,3,40.68472,-73.96691,1,150,20,89,1.04,1,247
1,11,40.73775,-74.00344,1,151,88,19,0.22,1,249
0,16,40.67078,-73.98815,1,105,115,15,0.17,1,219
0,12,40.71517,-73.94292,0,55,150,10,0.14,1,97
0,16,40.66859,-73.98235,1,299,20,0,0.0,1,149
0,6,40.68881,-73.95405,0,59,21,6,0.07,3,1
1,18,40.86717,-73.9194,1,99,20,11,0.18,1,249
0,15,40.66933,-73.93798,1,250,90,19,0.22,1,311
0,12,40.71856,-73.95166,1,165,30,154,1.87,1,157
1,45,40.80661,-73.9576,0,89,28,69,0.81,1,80
1,19,40.72893,-73.98278,1,89,30,57,0.67,6,1
1,19,40.73009,-73.9827,1,89,30,70,0.83,6,4
1,19,40.72955,-73.98298,1,99,30,62,0.74,6,8
0,12,40.7182,-73.95763,1,145,30,36,0.42,1,342
1,7,40.75636,-73.9939,1,80,30,32,0.37,7,365
0,75,40.61269,-74.03381,1,105,30,3,0.05,1,30
0,34,40.67858,-73.98537,0,125,31,17,0.2,2,331
1,2,40.82392,-73.94205,0,79,30,185,2.15,1,302
2,56,40.75782,-73.92129,1,107,30,24,0.29,8,262
0,29,40.67717,-73.96915,1,125,30,1,0.01,1,341
0,21,40.69849,-73.92678,1,180,30,0,0.0,1,352
0,13,40.68679,-73.97378,1,99,30,5,0.06,1,242
2,44,40.70278,-73.90153,1,70,30,3,0.04,1,1
0,6,40.68812,-73.94627,1,250,30,62,0.73,3,292
1,28,40.77761,-73.94606,0,90,30,3,0.04,1,128
2,56,40.75532,-73.91603,0,109,30,304,3.7,1,1
1,52,40.7311,-73.99913,1,165,30,19,0.23,1,259
1,64,40.72184,-73.9944,1,300,30,92,1.09,1,106
1,19,40.72829,-73.98156,1,99,30,66,0.77,6,1
1,19,40.72855,-73.98265,1,88,30,60,0.72,6,1
0,17,40.6599,-73.98279,0,65,20,6,0.32,1,311
1,8,40.80053,-73.96651,1,90,30,23,0.27,1,1
0,21,40.70779,-73.92129,1,110,90,32,0.4,1,330
0,21,40.70202,-73.92402,1,115,370,6,0.09,1,365
0,6,40.68586,-73.9501,0,60,30,41,0.65,8,245
1,8,40.78292,-73.97438,1,120,30,18,0.22,5,337
1,2,40.82446,-73.95274,0,700,28,4,0.05,1,22
2,49,40.76961,-73.90451,1,54,45,198,2.33,1,80
1,9,40.71328,-73.99315,0,96,19,30,0.36,1,165
0,3,40.68232,-73.96501,1,155,30,63,0.75,1,249
2,56,40.77115,-73.92275,0,69,40,23,0.27,1,207
1,19,40.72304,-73.97923,1,120,60,5,0.06,1,1
1,52,40.72692,-73.99948,1,215,30,110,1.3,1,332
0,12,40.7197,-73.95741,1,275,30,6,0.07,1,363
1,27,40.72372,-74.00277,1,199,60,11,0.13,1,281
0,12,40.70989,-73.95347,1,250,30,1,0.01,2,250
1,30,40.8347,-73.94857,0,60,30,36,0.44,1,365
0,34,40.68466,-73.98871,1,300,30,63,0.77,3,365
1,8,40.77471,-73.98261,0,120,20,107,1.29,1,144
0,21,40.7072,-73.92245,1,275,31,17,0.2,1,364
1,77,40.71655,-74.01171,1,130,30,2,0.03,52,116
0,84,40.68375,-73.87065,0,35,28,88,1.05,4,326
0,12,40.70958,-73.93578,1,90,30,15,0.18,1,1
0,12,40.71447,-73.95237,0,64,30,17,0.26,2,230
1,1,40.74519,-73.98338,1,150,30,0,0.0,1,352
1,26,40.74285,-73.97986,1,50,30,8,0.11,1,91
1,8,40.77428,-73.98594,1,1000,30,44,0.53,11,364
1,7,40.76206,-73.9998,1,263,30,11,0.13,2,33
0,6,40.69382,-73.95002,1,120,20,32,0.68,1,149
1,48,40.7256,-73.99445,1,234,20,29,0.37,1,302
1,14,40.75164,-73.99425,1,135,365,0,0.0,1,365
1,1,40.75743,-73.96939,1,90,30,3,0.05,52,358
1,26,40.7419,-73.9816,1,100,30,2,0.04,52,342
1,7,40.76758,-73.98722,1,85,30,2,0.04,52,223
1,26,40.74189,-73.97833,1,87,30,3,0.05,52,363
1,8,40.76934,-73.98464,1,95,30,1,0.01,52,365
0,12,40.70653,-73.94421,0,100,60,3,0.04,1,365
1,8,40.77516,-73.98573,1,2000,30,59,0.71,11,364
0,12,40.71157,-73.9636,1,100,31,15,0.18,1,223
0,34,40.67947,-73.98458,1,109,31,114,1.38,2,110
1,2,40.80829,-73.9426,1,125,21,12,0.15,2,267
2,25,40.7453,-73.95294,0,65,20,28,0.34,3,188
1,5,40.74888,-73.97828,1,129,30,43,0.67,6,256
1,5,40.74851,-73.97796,1,134,30,9,0.11,6,313
1,8,40.77563,-73.98065,1,165,30,27,0.34,1,128
1,19,40.72866,-73.98048,1,105,30,96,1.17,1,295
1,19,40.72482,-73.98097,1,73,30,100,1.25,1,3
1,11,40.73105,-74.00285,1,250,80,5,0.06,2,78
3,110,40.60183,-74.08953,0,75,30,59,0.72,2,354
2,83,40.74869,-73.88293,0,68,28,55,0.67,2,89
3,110,40.60213,-74.0893,0,75,30,36,0.44,2,362
1,7,40.76761,-73.98619,1,100,30,3,0.12,52,365
1,8,40.78361,-73.97645,1,155,181,82,1.07,1,188
1,19,40.7232,-73.97927,0,75,26,57,0.7,3,98
1,8,40.78674,-73.97243,1,171,30,4,0.06,8,346
1,8,40.78747,-73.97238,1,185,30,8,0.1,8,346
1,26,40.74231,-73.97839,1,120,30,3,0.05,52,365
0,82,40.57728,-73.95362,1,73,30,21,0.26,1,251
1,64,40.72064,-73.99605,1,125,28,19,0.25,1,267
0,17,40.65142,-73.97601,1,149,21,52,0.64,2,1
2,25,40.75754,-73.93004,0,39,30,13,0.16,18,360
0,12,40.71988,-73.95616,1,100,90,4,0.05,1,250
2,56,40.77016,-73.92316,0,55,80,3,0.04,1,119
1,30,40.83556,-73.94609,0,65,30,1,0.04,1,249
1,8,40.77734,-73.9877,1,100,29,3,0.11,1,301
2,49,40.78027,-73.90821,1,250,28,0,0.0,1,88
1,11,40.73652,-74.00876,1,140,30,18,0.29,1,182
0,12,40.70719,-73.95228,0,100,20,1,0.02,6,214
1,23,40.71818,-73.98206,1,220,25,1,0.01,1,350
1,8,40.77445,-73.98496,1,210,30,48,0.6,1,36
0,17,40.65954,-73.97805,1,199,265,20,0.32,2,90
0,17,40.65875,-73.9766,1,225,300,13,0.23,2,1
1,19,40.72381,-73.97896,0,75,26,58,0.73,3,129
1,28,40.77043,-73.9515,1,150,25,1,0.05,2,207
1,26,40.7449,-73.97656,1,116,30,5,0.09,52,311
0,29,40.67338,-73.96415,1,150,17,3,0.07,1,1
1,48,40.72591,-73.99452,1,465,30,47,0.67,1,277
1,7,40.76704,-73.98345,1,139,45,16,0.21,8,1
0,12,40.7119,-73.96031,1,160,30,19,0.26,1,59
0,16,40.67228,-73.97248,1,185,30,36,0.58,1,358
1,30,40.85604,-73.93469,1,100,30,13,0.18,1,219
0,20,40.72103,-73.94798,1,300,30,1,0.02,1,1
1,52,40.73336,-73.99836,0,120,21,79,1.04,2,34
1,14,40.73588,-73.99224,0,65,180,2,0.07,1,263
2,56,40.75665,-73.92015,1,107,30,15,0.19,8,268
1,30,40.84714,-73.94172,1,80,60,22,0.28,1,226
0,12,40.70694,-73.95307,0,75,18,5,0.06,6,112
0,21,40.7077,-73.92212,0,69,30,51,0.67,1,7
1,8,40.78689,-73.97314,1,300,30,93,1.24,1,284
1,28,40.77815,-73.95902,1,195,31,8,0.1,1,273
0,12,40.71731,-73.95627,1,55,30,0,0.0,1,159
1,52,40.73132,-73.99979,1,120,30,17,0.27,1,231
2,56,40.76488,-73.9297,1,95,30,0,0.0,1,1
0,13,40.68681,-73.97675,1,149,29,86,1.1,2,125
0,20,40.73404,-73.95737,0,50,31,10,0.25,3,193
0,15,40.67813,-73.96355,1,200,30,1,0.02,1,283
1,4,40.8032,-73.94004,0,100,30,0,0.0,2,365
1,45,40.81368,-73.95942,1,108,30,5,0.07,1,230
1,19,40.72668,-73.98179,1,2500,30,15,0.26,1,89
1,50,40.74207,-73.99094,1,175,25,49,0.63,1,188
1,2,40.82434,-73.93957,1,100,180,0,0.0,4,365
1,4,40.801,-73.94009,0,100,30,0,0.0,2,365
1,8,40.7886,-73.97553,1,190,28,28,0.41,1,283
1,19,40.72615,-73.98781,1,199,29,12,0.17,1,31
1,14,40.74435,-74.00038,1,124,30,4,0.07,1,42
1,5,40.74848,-73.97884,0,118,30,116,1.93,1,228
0,40,40.70434,-73.98989,0,125,20,35,0.45,1,311
0,13,40.69097,-73.97972,1,195,29,55,0.72,2,233
1,2,40.81071,-73.94493,1,140,30,81,1.05,2,194
1,28,40.77464,-73.95695,0,50,20,11,0.16,1,269
0,12,40.71684,-73.9441,0,50,40,16,0.21,1,324
0,34,40.6745,-73.99582,1,400,30,30,0.39,1,67
1,9,40.71687,-73.99046,1,87,59,51,0.66,1,1
0,90,40.63463,-74.03621,1,130,28,14,0.69,2,340
0,32,40.69224,-73.99638,1,150,30,48,0.63,1,1
1,2,40.82421,-73.93996,1,100,185,0,0.0,4,358
1,2,40.80421,-73.94302,1,135,30,190,2.63,4,253
0,90,40.63508,-74.03628,1,65,30,25,0.36,2,188
0,32,40.70162,-73.99465,1,100,180,0,0.0,1,365
0,16,40.67359,-73.97434,1,100,365,1,0.01,1,365
1,8,40.78729,-73.97439,1,191,30,8,0.11,8,346
1,8,40.7852,-73.9746,1,187,30,13,0.2,8,346
1,8,40.78558,-73.97251,1,172,30,4,0.08,8,346
1,8,40.78954,-73.97222,1,99,30,1,0.02,8,113
1,27,40.72602,-74.00318,1,130,20,33,0.43,1,11
0,15,40.67319,-73.95987,1,120,28,1,0.02,2,280
0,20,40.72031,-73.9483,1,249,30,71,0.94,1,273
0,6,40.69017,-73.95493,0,50,28,1,0.03,2,343
1,28,40.77421,-73.9528,1,105,45,20,0.26,1,109
1,19,40.72538,-73.98351,1,165,60,11,0.15,1,311
1,1,40.75879,-73.9638,1,220,360,1,0.02,1,1
0,6,40.6824,-73.93597,1,130,30,52,0.72,3,171
0,6,40.68753,-73.95851,1,139,30,26,0.38,1,205
1,2,40.81241,-73.94371,1,190,30,31,0.43,2,84
3,122,40.62922,-74.13354,1,221,30,0,0.0,3,1
1,4,40.79417,-73.94376,1,110,31,235,3.14,2,84
0,12,40.71273,-73.94399,1,83,30,16,0.21,2,26
0,15,40.6803,-73.96059,1,149,28,18,0.36,1,265
2,39,40.74361,-73.91662,1,150,30,9,0.12,2,365
1,68,40.73807,-73.98187,1,131,30,23,0.61,2,33
1,68,40.73775,-73.98324,1,250,30,17,0.39,2,327
1,2,40.81102,-73.94562,1,85,30,23,0.47,1,1
0,36,40.68754,-73.99284,1,195,30,38,0.51,1,345
1,26,40.74052,-73.97907,1,650,30,36,0.48,1,256
1,2,40.80815,-73.94325,0,70,28,16,0.22,3,365
0,10,40.66842,-73.98659,0,40,90,0,0.0,2,311
1,8,40.78898,-73.97589,1,79,30,12,0.16,8,36
1,14,40.74057,-73.99771,1,90,45,11,0.18,1,279
1,1,40.75274,-73.97026,1,110,30,3,0.06,52,365
1,8,40.79208,-73.96482,1,1000,30,24,0.33,11,364
1,45,40.80815,-73.96779,1,170,30,4,0.07,1,1
0,0,40.63381,-73.9714,0,50,30,10,0.13,1,205
1,11,40.73804,-74.00416,0,89,30,13,0.18,1,282
0,21,40.69814,-73.92996,1,99,30,13,0.25,2,280
1,30,40.8532,-73.93225,0,125,56,0,0.0,1,365
0,22,40.63641,-73.96712,0,35,30,0,0.0,1,317
1,4,40.80393,-73.94046,0,44,30,2,0.03,5,325
1,7,40.76161,-73.99452,1,150,60,7,0.1,1,188
0,10,40.6672,-73.98986,0,50,90,0,0.0,2,1
1,19,40.72434,-73.97715,1,120,29,10,0.17,1,3
0,12,40.70653,-73.9462,1,84,45,45,0.61,1,244
2,124,40.69414,-73.82538,1,90,30,33,0.46,3,298
1,4,40.8035,-73.94041,0,41,30,4,0.09,5,217
1,2,40.81691,-73.94251,1,100,60,0,0.0,1,365
1,2,40.8291,-73.94816,0,72,30,3,0.05,1,179
1,2,40.80545,-73.95563,1,99,30,4,0.09,1,1
0,6,40.68919,-73.95399,0,50,30,1,0.03,2,253
0,15,40.66886,-73.95412,1,150,50,4,0.07,1,312
0,10,40.66812,-73.99022,0,160,30,1,1.0,2,39
1,30,40.84346,-73.94471,1,110,29,10,0.14,1,205
1,27,40.72098,-73.99869,1,145,30,12,0.17,1,342
0,15,40.67396,-73.96083,0,48,25,4,0.06,1,311
1,19,40.72353,-73.99059,1,465,30,11,0.18,1,273
2,56,40.76062,-73.9175,1,80,70,44,0.61,1,198
0,12,40.71276,-73.95022,1,95,25,11,0.15,1,168
1,14,40.74913,-73.99575,1,93,39,25,0.35,19,245
1,14,40.75032,-73.99676,1,93,120,34,0.47,19,316
1,8,40.76934,-73.9863,1,125,30,2,0.04,52,282
0,0,40.64734,-73.97334,1,262,30,1,0.02,1,16
0,16,40.67274,-73.97339,1,175,30,58,0.81,1,220
0,84,40.68822,-73.8759,0,40,28,91,1.25,4,325
1,51,40.76175,-73.95012,0,54,30,5,0.15,1,2
0,12,40.71668,-73.94083,0,55,28,0,0.0,1,365
1,8,40.79801,-73.97045,1,169,120,3,0.04,1,36
0,20,40.72456,-73.94343,1,129,30,7,0.11,52,189
0,20,40.72756,-73.9423,1,129,30,6,0.09,52,249
0,29,40.6775,-73.96509,1,199,28,33,0.47,1,315
1,64,40.72352,-73.99498,1,217,30,0,0.0,1,293
1,45,40.80684,-73.96404,1,160,24,10,0.18,1,218
2,39,40.74342,-73.92635,1,100,30,2,0.06,1,250
0,16,40.67317,-73.97676,0,160,30,25,0.35,1,363
0,24,40.65671,-73.9622,0,45,30,21,0.45,1,21
0,79,40.64674,-74.01043,1,80,30,18,0.31,1,161
2,56,40.76781,-73.92684,1,70,20,75,1.05,1,364
1,8,40.78622,-73.97586,1,99,30,23,0.32,8,89
0,33,40.67947,-73.99709,1,100,30,4,0.06,1,321
0,22,40.64965,-73.96154,1,100,30,49,0.69,1,342
1,8,40.80028,-73.9618,1,178,32,132,1.84,1,211
0,20,40.72732,-73.94076,1,129,30,6,0.08,52,277
1,8,40.77864,-73.98437,1,150,30,18,0.29,2,135
1,14,40.75029,-73.99556,1,98,120,38,0.54,19,290
1,14,40.75028,-73.99533,1,96,115,45,0.63,19,210
0,20,40.72267,-73.94362,1,149,30,9,0.13,52,343
4,114,40.80011,-73.9133,0,60,21,19,0.28,2,178
0,20,40.72686,-73.94177,1,149,30,7,0.11,52,281
0,12,40.70919,-73.95012,1,160,30,13,0.18,2,252
1,19,40.72307,-73.97911,0,89,28,23,0.38,3,125
1,2,40.8033,-73.95008,1,135,31,177,2.49,4,340
1,8,40.78981,-73.97518,1,104,30,27,0.38,8,137
0,12,40.71171,-73.96101,1,136,30,50,0.72,1,1
0,20,40.72887,-73.95163,0,35,30,5,0.07,1,97
2,126,40.73732,-73.90168,0,48,20,33,0.46,2,297
2,126,40.74033,-73.89921,0,56,28,14,0.2,2,310
1,68,40.73494,-73.98751,1,250,365,0,0.0,1,365
3,122,40.62947,-74.13378,1,250,30,1,0.02,3,1
1,14,40.74611,-73.99209,1,295,30,3,0.04,1,235
0,12,40.72079,-73.95641,1,200,120,12,0.17,1,306
0,20,40.7257,-73.94181,1,129,30,8,0.12,52,344
1,101,40.71239,-74.0162,1,400,1000,0,0.0,1,362
1,19,40.73051,-73.9814,1,10,30,0,0.0,4,137
0,12,40.70773,-73.94144,1,115,20,1,0.02,1,1
1,7,40.76364,-73.99465,1,80,30,12,0.18,7,365
1,7,40.76544,-73.9882,1,185,30,7,0.13,39,347
0,20,40.72531,-73.94222,1,149,30,9,0.14,52,341
0,54,40.6526,-73.94999,1,104,59,48,0.69,1,122
1,19,40.72379,-73.98826,1,145,29,3,0.04,1,35
1,8,40.79221,-73.97476,1,104,30,24,0.34,8,57
1,7,40.76493,-73.98652,1,150,30,18,0.27,39,340
1,7,40.76703,-73.98874,1,195,30,17,0.35,39,333
1,7,40.76671,-73.98666,1,350,30,14,0.22,39,327
0,24,40.66139,-73.96027,0,80,31,28,0.4,1,167
0,12,40.71108,-73.96318,1,224,31,14,0.2,1,219
1,2,40.8174,-73.94629,1,110,30,128,1.82,2,314
1,9,40.7157,-73.99183,1,249,31,6,0.09,1,365
2,56,40.7672,-73.92799,0,38,30,7,0.19,1,137
0,12,40.72076,-73.95614,1,180,30,183,2.63,1,1
2,25,40.76081,-73.93163,0,100,20,52,0.75,1,182
0,24,40.65769,-73.96161,1,115,30,2,0.03,1,1
1,28,40.76358,-73.95895,1,90,80,20,0.29,1,203
0,20,40.72569,-73.94054,1,159,30,6,0.1,52,310
1,2,40.80266,-73.94728,1,200,60,74,1.08,1,233
1,14,40.74166,-73.99892,0,90,30,83,1.2,1,282
1,48,40.72569,-73.99227,1,455,30,93,1.36,2,332
1,68,40.73679,-73.98177,1,195,30,104,1.51,4,333
1,14,40.75,-73.99721,1,92,110,13,0.21,19,327
0,38,40.68897,-73.98765,0,89,90,47,0.73,1,365
0,15,40.67593,-73.95885,1,94,20,46,0.72,1,1
0,20,40.72589,-73.94055,1,159,30,5,0.07,52,346
1,11,40.73311,-74.00761,1,249,60,0,0.0,1,363
0,20,40.72749,-73.94201,1,149,30,7,0.11,52,340
0,34,40.68396,-73.98914,1,450,30,14,0.21,1,1
0,6,40.67814,-73.92375,0,45,29,12,0.18,3,337
1,1,40.75876,-73.96854,1,175,30,2,0.04,1,342
0,15,40.67138,-73.96058,0,35,30,7,0.15,2,318
2,25,40.74404,-73.95233,0,40,25,8,0.12,3,1
1,19,40.72373,-73.99118,0,175,30,20,0.31,1,83
1,7,40.76247,-73.99225,1,150,21,2,0.04,1,203
1,4,40.80447,-73.94034,0,50,30,0,0.0,5,356
0,6,40.67769,-73.92303,0,37,25,16,0.24,3,179
0,20,40.72575,-73.95231,1,399,30,13,0.19,1,363
4,114,40.80844,-73.92889,1,140,30,16,0.24,1,365
1,19,40.7334,-73.98801,1,146,18,34,0.5,1,1
0,12,40.71842,-73.94093,0,80,31,0,0.0,1,1
0,15,40.6713,-73.94329,1,125,30,26,0.38,1,264
1,2,40.81381,-73.94166,1,250,30,19,0.3,1,318
0,20,40.72539,-73.94074,1,149,30,7,0.11,52,277
0,12,40.71044,-73.93987,0,80,30,4,0.08,2,254
0,22,40.63524,-73.96602,1,115,30,4,0.07,1,47
2,44,40.70493,-73.90795,1,75,30,64,0.95,1,178
1,14,40.73985,-74.00138,1,320,30,24,0.36,1,66
1,11,40.73858,-74.00875,0,500,365,0,0.0,1,1
1,28,40.76749,-73.95533,0,80,24,89,1.4,1,146
0,79,40.66118,-73.98901,0,40,25,0,0.0,1,1
0,13,40.6856,-73.97418,0,89,90,13,0.19,1,101
1,11,40.73075,-74.00238,1,110,45,21,0.31,1,1
1,26,40.74282,-73.9803,0,75,30,42,0.67,26,345
0,20,40.72532,-73.93992,1,199,30,8,0.14,52,308
1,8,40.80033,-73.96509,1,150,90,54,0.86,1,153
1,19,40.72247,-73.97923,1,299,28,92,1.37,1,14
0,3,40.68476,-73.96672,1,100,30,17,0.25,1,1
1,14,40.74978,-73.99686,1,139,90,20,0.31,19,219
1,28,40.77452,-73.94951,1,150,30,26,0.41,1,269
